Time,Medio,num_followers,tweet_text,article_url
"June 14th 2020, 13:50:01.000",UniNoticias,"2,039,580",🎥 En EEUU hay más de dos millones de personas contagiadas de #coronavirus y hay temor de un rebrote. Vía @AlPunto https://t.co/s5P4fKD23v,https://bit.ly/2XZkbDl
"June 14th 2020, 11:52:42.000",AztecaAmerica,"36,056",Lo último sobre COVID-19: China registra mayor número de contagios de en dos meses 👉👉👉 https://t.co/vh8aVTkSqg https://t.co/qyLozgkH4Y,https://bit.ly/2XZvRWG
"June 14th 2020, 10:49:33.000",ElHuffPost,"473,184",Sanidad comunica 26 fallecidos en la última semana y notifica una importante caída de contagios: 48 en las últimas… https://t.co/jR44nLN1ev,https://twitter.com/i/web/status/1272179375581081600
"June 14th 2020, 10:46:53.000",ElHuffPost,"473,182",Sanidad comunica 26 muertes por coronavirus en la última semana y registra un importante descenso de contagios: 48… https://t.co/eEFafI2U2X,https://twitter.com/i/web/status/1272178704639242240
"June 14th 2020, 10:45:44.000",ElHuffPost,"473,182",Sanidad comunica 28 muertes en la última semana y registra un importante descenso de contagios: 48 en las últimas 2… https://t.co/tp62ewyJ3H,https://twitter.com/i/web/status/1272178413051219979
"June 14th 2020, 04:08:00.000",ElHuffPost,"473,121","Los expertos lo tienen claro: bañarse no implica riesgo de contagio, pero eso no significa que no sea necesaria la… https://t.co/PNLuwgZaaM",https://twitter.com/i/web/status/1272078319962423296
"June 13th 2020, 23:49:03.000",ElNuevoDia,"679,924",La EPA exhorta a utilizar desinfectantes en superficies para evitar contagios https://t.co/JyXiZPcmCd,https://www.elnuevodia.com/noticias/locales/nota/laepaexhortaautilizardesinfectantesensuperficiesparaevitarcontagios-2575427/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1592106304
"June 13th 2020, 23:09:05.000",ElNuevoHeraldo,"1,224","ALERTA ⚠️Número de contagios rompen récord hoy en el Condado Camero, 57 en total ⚠️La mayoría de los casos se tran… https://t.co/Mvhvy6gYbZ",https://twitter.com/i/web/status/1272003096353206274
"June 13th 2020, 17:14:00.000",ElHuffPost,"473,078",Sanidad comunica 27 fallecidos en la última semana y registra un descenso de contagios: 130 en 24 horas https://t.co/7kvHEOMnIX,https://www.huffingtonpost.es/entry/sanidad-informa-de-27-fallecidos-en-la-ultima-semana-y-registra-un-descenso-de-contagios-hasta-los-130-en-24-horas_es_5ee4d717c5b6afc12831747a
"June 13th 2020, 16:14:56.000",AlDiaDallas,"4,611","⭕| #Dallas | Reportan 345 contagios, un nuevo récord de casos de #coronavirus en un día en el condado. Como referen… https://t.co/FtqmQbvSyS",https://twitter.com/i/web/status/1271898873930354694
"June 13th 2020, 16:07:21.000",AlDiaDallas,"4,611","⭕| #Dallas | Reportan 345 contagios, un nuevo récord de casos de #coronavirus en un día en el condado. Como referen… https://t.co/z6lB34keso",https://twitter.com/i/web/status/1271896965761183744
"June 13th 2020, 15:50:49.000",UniNoticias,"2,039,295","💊 Florida reporta 2,581 nuevos casos de #coronavirus y rompe récord de contagios por tercer día consecutivo. ➡️ Lo… https://t.co/oquj6fRdwo",https://twitter.com/i/web/status/1271892802847178752
"June 13th 2020, 12:58:00.000",ElHuffPost,"473,042","el foco del hospital de Basurto, 14 de ellos profesionales https://t.co/vSNEtpDoOG",https://www.huffingtonpost.es/entry/se-elevan-a-37-los-contagiados-por-el-foco-del-hospital-de-basurto-14-de-ellos-profesionales_es_5ee4b5f6c5b696952d231e0a
"June 13th 2020, 11:30:07.000",AlDiaDallas,"4,611",⭕️| #Dallas | ¿Se puede evitar el contagio de covid-19 con la reapertura de lugares de entretenimiento? Aquí los d… https://t.co/a7nId8aeId,https://twitter.com/i/web/status/1271827195548381194
"June 13th 2020, 10:54:37.000",ElHuffPost,"473,033",Sanidad comunica 27 fallecidos en la última semana y registra un descenso de contagios: 130 en 24 horas https://t.co/7kvHEP3Z7x,https://www.huffingtonpost.es/entry/sanidad-informa-de-27-fallecidos-en-la-ultima-semana-y-registra-un-descenso-de-contagios-hasta-los-130-en-24-horas_es_5ee4d717c5b6afc12831747a
"June 13th 2020, 10:29:28.000",ElHuffPost,"473,025",Sanidad informa de 27 muertes por coronavirus en la última semana y registra un descenso de contagios en el último… https://t.co/fvdBgFsPG3,https://twitter.com/i/web/status/1271811933574963200
"June 13th 2020, 09:27:12.000",UniNoticias,"2,039,222",💊Fauci expresó su preocupación por posibles contagios en las protestas y lo hizo extensivo a los mítines de campaña… https://t.co/pX2UZCIsO0,https://twitter.com/i/web/status/1271796263747555330
"June 13th 2020, 07:38:32.000",ElHuffPost,"472,985","Se elevan a 37 los contagiados por el foco del hospital de Basurto, 14 de ellos profesionales https://t.co/vSNEtpV0dg",https://www.huffingtonpost.es/entry/se-elevan-a-37-los-contagiados-por-el-foco-del-hospital-de-basurto-14-de-ellos-profesionales_es_5ee4b5f6c5b696952d231e0a
"June 13th 2020, 07:14:20.000",ElNuevoDia,"679,929",China reporta 11 nuevos contagios y seis de ellos son de casos locales https://t.co/kULLhrqyel,https://www.elnuevodia.com/noticias/mundo/nota/chinareporta11nuevoscontagiosyseisdeellossondecasoslocales-2575371/?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1592046209
